prompt,result
2.照光血制品强烈化放疗免疫功能极度抑制病人、细胞免疫功能不全、异体移植后免疫功能未完全重建者输注含有淋巴细胞的血制品时，血制品需先经1800cGy照光，以灭活可能导致移植物抗宿主病的淋巴细胞。,"[{'type': 'Disease', 'response': ['免疫功能极度抑制', '细胞免疫功能不全', '移植物抗宿主病']}, {'type': 'Drug', 'response': ['含有淋巴细胞的血制品', '照光']}, {'type': 'Symptom', 'response': ['None']}]"
吗啡、乙醇、有机磷等中毒时，瞳孔通常显著缩小；而曼陀罗类、镇静剂中毒时，则瞳孔扩大。,"[{'type': 'Disease', 'response': ['中毒', '镇静剂中毒', '有机磷等中毒']}, {'type': 'Drug', 'response': ['None']}, {'type': 'Symptom', 'response': ['瞳孔通常显著缩小', '瞳孔扩大']}]"
血液净化适应证为：①急性中毒其症状严重，无相应解毒剂，但毒物或其代谢产物能被透析出体外；②预计毒物摄入剂量很大，估计会出现严重并发症和严重不良后果；③发生急性肾衰竭。,"[{'type': 'Disease', 'response': ['急性肾衰竭', '急性中毒']}, {'type': 'Drug', 'response': ['解毒剂']}, {'type': 'Symptom', 'response': ['None']}]"
肾上腺皮质激素具有增强机体应激能力、改善毛细血管通透性、减少渗出、稳定细胞膜及溶酶体、减少细胞损害等作用，临床用于严重中毒伴中毒性脑病、肺水肿、急性呼吸窘迫综合征、中毒性肝肾功能损害以及化学物引起的溶血性贫血等。,"[{'type': 'Disease', 'response': ['中毒性脑病', '溶血性贫血', '严重中毒伴中毒性脑病', '急性呼吸窘迫综合征', '肺水肿', '中毒', '急性呼吸窘迫', '化学物引起的溶血性贫血']}, {'type': 'Drug', 'response': ['肾上腺皮质激素']}, {'type': 'Symptom', 'response': ['None']}]"
有全身中毒症状者可用5%二巯基丙磺酸钠0.1～0.2ml/kg肌内注射，每天一次。,"[{'type': 'Disease', 'response': ['None']}, {'type': 'Drug', 'response': ['5%二巯基丙磺酸钠']}, {'type': 'Symptom', 'response': ['None']}]"
参考文献1.宋家其.11例小儿急性胰腺炎治疗体会和预后评估.临床儿科杂志，1997，15（4）：251-2512.施诚仁.儿童急性胰腺炎的概念与认识.中华小儿外科杂志，1997，18（2）：124-1243.吴曰杰，郭永年，王开荣，等.小儿及青少年钙化性胰腺炎.实用儿科临床杂志，1996，11（6）：366-3664.王志敏.青少年慢性胰腺炎.国外医学•儿科学分册，1995，22（3）：1565.萧树东.江绍基胃肠病学.上海：上海科学技术出版社，2001：4876.徐家裕.临床胰腺病学.上海：上海科学技术出版社，1990：1207.徐家裕.急性重症胰腺炎的诊断进展.临床儿科杂志，1997，15（4）：244-2448.姚希贤.临床消化病学.天津：天津科学技术出版社，1999：12789.徐家裕.急性重症胰腺炎的治疗进展.临床儿科杂志，1997，15（5）：310-31010.杨镇主译，裘法祖审阅.慢性胰腺炎.北京：人民卫生出版社，1994：2111.叶孝礼.小儿消化系统疾病学.天津：天津科学技术出版社，1992：22612.张富生，周世杰.丙戊酸治疗10年后引起坏死性胰腺炎.国外医学•儿科学分册，1996，23（3）：15513.张汝慧，王玲，陈俊仪，等.流行性腮腺炎致多脏器损害662例临床分析.临床儿科杂志，1996，14（4）：220-22014.赵惠君，王耀平，顾龙君，等.左旋门冬酰胺酶在儿童淋巴系统恶性肿瘤化疗中的严重毒副反应.临床儿科杂志，1998，16（5）：301-30115.周雪莲，欧弼悠.小儿急性坏死性胰腺炎16例诊治分析.急诊医学，1996，5（2）∶11416.BraganzaJM：Thepathogenesisofchronicpancreatitis.QJMed，1996，89：243-24317.HaddochG，CouparG，YoungsonGG，etal：Acutepancreatitisinchildren：a15yearreview.JPediatrSurg，1994，29（6）：719-71918.KeimV，IovannaJL，DagornJC：Theacutephasereactionoftheexocrinepancreas.Digestion，1994，55：65-6519.LehmanGA，ShermanS.Pancreasdivisum.GastrointestEndoscClinNorthAm，1995，5（1）：145-14520.MathewP，WyllieR，CaulfieldM，etal：Chronicpancreatitisinlatechildhoodandadolescence.ClinPediatr，1994，33：88-8821.ParentiDM，SteinbergW，KangP：Infectiouscausesofacutepancreatitis.Pancreas，1996，13（4）：356-35622.PerraultJ.Hereditarypancreatitis.GastroenterolClinNorthAm，1994，23（4）：743-74323.SteerML，WaxmanI，FreedmanS.ChronicPancreatitis.NEnglJMed，1995，332（22）：1482-1482,"[{'type': 'Disease', 'response': ['急性坏死性胰腺炎', '慢性胰腺炎', '急性胰腺炎', '慢性胆管炎', '病毒感染', '胰腺病', '慢性胰腺炎', '坏死性胰腺炎']}, {'type': 'Drug', 'response': ['丙戊酸']}, {'type': 'Symptom', 'response': ['None']}]"
4.合成减少肠道细菌也可合成部分维生素K，在婴儿于肠道菌落出现后，维生素K缺乏则明显减少，长期应用抗生素抑制肠道内的正常细菌的生长。,"[{'type': 'Disease', 'response': ['维生素K缺乏']}, {'type': 'Drug', 'response': ['抗生素']}, {'type': 'Symptom', 'response': ['None']}]"
自从1961年美国儿科学会营养委员会提出所有新生儿应在出生后肌内注射维生素K1</sub>0.5～1mg作为预防新生儿出血以来，维生素K1</sub>用来预防和根治新生儿维生素K缺乏性出血已在许多国家得到广泛应用。,"[{'type': 'Disease', 'response': ['维生素K缺乏性出血', '新生儿维生素K缺乏性出血']}, {'type': 'Drug', 'response': ['维生素K1']}, {'type': 'Symptom', 'response': ['None']}]"
加拿大儿科协会建议足月产的新生儿应在出生后6小时内口服或肌注维生素K1mg；早产儿、低体重儿及难产儿均需在产后6小时内肌注维生素K1mg；因脂肪吸收不良而有迟发性出血性疾病危险性的新生儿需每天口服维生素K1mg或每月肌注维生素K一次以预防维生素K缺乏性出血症。,"[{'type': 'Disease', 'response': ['维生素K缺乏性出血症', '早产儿', '低体重儿', '迟发性出血性疾病']}, {'type': 'Drug', 'response': ['维生素K']}, {'type': 'Symptom', 'response': ['None']}]"
4）多种药物：可通过半抗原药物依赖性非特异性抗体（如青霉素类、头孢霉素类等）或通过免疫复合物（如奎宁、奎尼丁等）或诱导真性自身抗体（如甲基多巴、左旋多巴等）而破坏红细胞，发生溶血性贫血。,"[{'type': 'Disease', 'response': ['溶血性贫血']}, {'type': 'Drug', 'response': ['左旋多巴', '青霉素类', '头孢霉素类', '奎宁', '奎尼丁', '甲基多巴']}, {'type': 'Symptom', 'response': ['None']}]"
②甲基青霉素型（methyldopatype）：α甲基多巴引起的AIHA属自身免疫性，60%见于HLA-B7阳性患儿；③免疫复合物型：这是由于IgM与药物反应，激活了补体系统，C3b</sub>沉积于红细胞表面，进而导致巨噬细胞对带有C3b</sub>的红细胞发生攻击和吞噬。,"[{'type': 'Disease', 'response': ['自身免疫', '巨噬细胞对带有C3b</sub>的红细胞发生攻击和吞噬', 'AIHA', '自身免疫性']}, {'type': 'Drug', 'response': ['甲基青霉素', 'α甲基多巴']}, {'type': 'Symptom', 'response': ['None']}]"
危重病例需注意水电解质平衡及心肾功能，溶血危象者宜采取碱化尿液的措施，应用低分子右旋糖苷以防DIC发生等。,"[{'type': 'Disease', 'response': ['DIC']}, {'type': 'Drug', 'response': ['碱化尿液的', '低分子右旋糖苷']}, {'type': 'Symptom', 'response': ['None']}]"
如果确因病情严重而需输血者，也应严格掌握适应证：①急性溶血进展迅速而致严重贫血（Hb＜40g/L），或发生溶血危象，心功能失代偿或严重脑缺氧和全身衰竭者；②急性溶血不能用糖皮质激素和免疫抑制剂控制者。,"[{'type': 'Disease', 'response': ['严重贫血', '全身衰竭', '溶血', '溶血危象', '急性溶血', '心功能失代偿']}, {'type': 'Drug', 'response': ['糖皮质激素', '免疫抑制剂']}, {'type': 'Symptom', 'response': ['None']}]"
即使是严重的反流，如患儿年龄小，肾功能好，无生长发育障碍预防性抗生素虑药物治疗。,"[{'type': 'Disease', 'response': ['生长发育障碍', '反流']}, {'type': 'Drug', 'response': ['预防性抗生素']}, {'type': 'Symptom', 'response': ['None']}]"
膀胱输尿管反流和梗阻并存Teflon管胶原蛋白或伴有较大的输尿管旁憩室、或输尿管开口于膀胱憩室内时首先考虑手术。,"[{'type': 'Disease', 'response': ['输尿管旁憩室', '膀胱输尿管反流', '梗阻']}, {'type': 'Drug', 'response': ['Teflon管胶原蛋白']}, {'type': 'Symptom', 'response': ['None']}]"
Teflon微粒由于可渗入血流，引起肺、脑等关键脏器的栓塞，或在注射局部形成肉芽肿，至今尚未获得美国食品和药品监督局（FDA）的批准。,"[{'type': 'Disease', 'response': ['肉芽肿']}, {'type': 'Drug', 'response': ['Teflon微粒']}, {'type': 'Symptom', 'response': ['None']}]"
设法去除呼吸道内黏稠分泌物，加强肺部物理治疗，尤其是胸部叩打和体位引流，根据病情每天1～4次；注意口服补液或静脉补液，尤其是炎热季节及伴发急性胃肠炎时，防止脱水和气道分泌物干燥黏稠；雾化吸入0.45～0.9%氯化钠可湿化气道、稀化痰液，亦可加用人重组DNA酶（2.5mg，每天1次）雾化吸入。,"[{'type': 'Disease', 'response': ['急性胃肠炎']}, {'type': 'Drug', 'response': ['氯化钠', '人重组DNA酶']}, {'type': 'Symptom', 'response': ['None']}]"
AZT常见的不良反应为血液学毒性，包括粒细胞减少症及贫血，常有头痛。,"[{'type': 'Disease', 'response': ['None']}, {'type': 'Drug', 'response': ['AZT']}, {'type': 'Symptom', 'response': ['None']}]"
NVP的主要不良反应是皮疹，可发展为危及生命的大疱性渗出性红斑，应即刻停药。,"[{'type': 'Disease', 'response': ['皮疹', '大疱性渗出性红斑']}, {'type': 'Drug', 'response': ['NVP']}, {'type': 'Symptom', 'response': ['None']}]"
有结核接触史或PPD皮肤试验强阳性的HIV感染儿童，应用异烟肼预防性治疗9～12个月。,"[{'type': 'Disease', 'response': ['结核', 'HIV感染', 'PPD皮肤试验']}, {'type': 'Drug', 'response': ['异烟肼']}, {'type': 'Symptom', 'response': ['None']}]"
ICU内患儿病情危重，免疫功能低下，容易发生交叉感染，加之长期强有力抗生素的使用，容易产生耐药性细菌株，故无菌监测至关重要。,"[{'type': 'Disease', 'response': ['交叉感染']}, {'type': 'Drug', 'response': ['抗生素']}, {'type': 'Symptom', 'response': ['None']}]"
目前认为，质子泵抑制剂能更快地缓解反流症状，加速反流性食管炎的愈合，尤其对中重度食管炎及其并发症，此药应作为首选。,"[{'type': 'Disease', 'response': ['反流性食管炎', '中重度食管炎']}, {'type': 'Drug', 'response': ['质子泵抑制剂']}, {'type': 'Symptom', 'response': ['None']}]"
咖啡因和茶碱已用于治疗早产儿呼吸暂停。,"[{'type': 'Disease', 'response': ['早产儿', '呼吸暂停']}, {'type': 'Drug', 'response': ['茶碱', '咖啡因']}, {'type': 'Symptom', 'response': ['None']}]"
对于存在肺血流增加，出现充血性心力衰竭的患儿，出生后3个月内以抗心力衰竭药物治疗，同时行肺动脉环缩术，防止肺高压、肺血管疾病的发展，控制心力衰竭症状。,"[{'type': 'Disease', 'response': ['肺血管疾病', '肺高压', '心力衰竭', '充血性心力衰竭']}, {'type': 'Drug', 'response': ['抗心力衰竭药物']}, {'type': 'Symptom', 'response': ['None']}]"
图9-37Fontan手术后，心房间交通被Amplatzer房间隔缺损闭塞器堵塞术后应给予阿司匹林或其他抗凝剂防止静脉血栓形成。,"[{'type': 'Disease', 'response': ['静脉血栓', '心房间交通被Amplatzer房间隔缺损闭塞器堵塞', '术后']}, {'type': 'Drug', 'response': ['阿司匹林', '抗凝剂']}, {'type': 'Symptom', 'response': ['None']}]"
这可能与术后心脏结构重建、左心室功能变化引起心肌休整功能紊乱有关，术后早期使用血管扩张剂可有助于提高心排出量。,"[{'type': 'Disease', 'response': ['心肌休整功能紊乱']}, {'type': 'Drug', 'response': ['血管扩张剂']}, {'type': 'Symptom', 'response': ['None']}]"
患儿一般情况良好，无痛，不影响吃奶，偶有个别因累及消化道、呼吸道而出现呕吐、声嘶或呼吸困难鹅口疮的治疗，主要是用碱性药物及制霉菌素。,"[{'type': 'Disease', 'response': ['鹅口疮']}, {'type': 'Drug', 'response': ['碱性药物', '制霉菌素']}, {'type': 'Symptom', 'response': ['None']}]"
早产儿肝脏内维生素A的贮存量更少，且脂肪吸收能力也有限，生长发育的速度又较快，故更容易发生维生素A缺乏症。,"[{'type': 'Disease', 'response': ['维生素A缺乏症', '早产儿']}, {'type': 'Drug', 'response': ['维生素A']}, {'type': 'Symptom', 'response': ['None']}]"
亚临床维生素A缺乏是指儿童因维生素A摄入不足导致的轻度维生素A缺乏，其特点是无典型的临床表现。,"[{'type': 'Disease', 'response': ['亚临床维生素A缺乏', '轻度维生素A缺乏']}, {'type': 'Drug', 'response': ['维生素A']}, {'type': 'Symptom', 'response': ['None']}]"
必要时保持两眼清洁，使用抗生素眼膏，角膜溃疡者用1%阿托品滴眼防止虹膜粘连。,"[{'type': 'Disease', 'response': ['角膜溃疡', '虹膜粘连']}, {'type': 'Drug', 'response': ['1%阿托品', '抗生素眼膏']}, {'type': 'Symptom', 'response': ['None']}]"
1分钟评分与动脉血pH相关，但不完全一致，如母亲分娩时用麻醉药或止痛药使新生儿生后呼吸抑制，Apgar评分虽低，但无宫内缺氧，血气改变相对较轻。,"[{'type': 'Disease', 'response': ['宫内缺氧', '呼吸抑制']}, {'type': 'Drug', 'response': ['麻醉药', '止痛药']}, {'type': 'Symptom', 'response': ['None']}]"
③复苏过程中禁用高张葡萄糖，因为应激时血糖已升高，给予高张葡萄糖可增加颅内出血发生的机会，同时糖的无氧酵解增加，加重代谢性酸中毒。,"[{'type': 'Disease', 'response': ['代谢性酸中毒', '颅内出血']}, {'type': 'Drug', 'response': ['高张葡萄糖']}, {'type': 'Symptom', 'response': ['None']}]"
（1）肾上腺素：①作用：可直接兴奋心肌起搏组织和传导系统的β受体，使心率加快，心输出量增加，同时兴奋血管α受体，使血管收缩，血压增高；②指征：心率为0或胸外心脏按压30秒后，心率仍持续＜60次/分；③方法：给予1∶10000肾上腺素，0.1～0.3ml/kg静脉注入，或0.3～1ml/kg气管内注入，3～5分钟重复一次；④疗效评价：给药30秒后，有效者心率≥100次/分；无效者应考虑是否存在代谢性酸中毒和有效血容量减少等。,"[{'type': 'Disease', 'response': ['代谢性酸中毒', '血管收缩', '有效血容量减少']}, {'type': 'Drug', 'response': ['肾上腺素']}, {'type': 'Symptom', 'response': ['None']}]"
（3）纳洛酮（naloxone）：①作用：是半合成吗啡拮抗剂，阻断吗啡样物质与其受体结合，从而拮抗所有吗啡类镇痛药的呼吸抑制、缩瞳、胆总管痉挛及致幻作用，并降低镇痛效应。,"[{'type': 'Disease', 'response': ['None']}, {'type': 'Drug', 'response': ['纳洛酮', '镇痛', '非那哌啉', 'naloxone', '吗啡', '吗啡类镇痛药', '毒麻黄碱', '吗啡样物质']}, {'type': 'Symptom', 'response': ['None']}]"
RVH的发生与肾动脉狭窄发生的速度和时期有一定关系，肾动脉发生栓塞的数分钟内可出现高血压，即急性期，此时多为肾素依赖性高血压，如应用ACEI可使血压迅速有效地下降，数日或数周后进入过渡期，此期的血浆肾素和血管紧张素仍维持较高水平，但钠、水潴留已起作用，ACEI的应用仍可使血压下降，但速度减慢。,"[{'type': 'Disease', 'response': ['肾动脉狭窄', '钠、水潴留', '肾素依赖性高血压', '血管紧张素', '高血压', 'RVH', '肾动脉发生栓塞']}, {'type': 'Drug', 'response': ['ACEI']}, {'type': 'Symptom', 'response': ['None']}]"
检查时还可静脉注射利尿剂，可使健侧肾盂造影剂迅速“洗脱”，患肾由于肾小球滤过率少，造影剂排出缓慢，从而扩大了两肾排泄造影剂的差别，有利于提高RVH的诊断。,"[{'type': 'Disease', 'response': ['RVH']}, {'type': 'Drug', 'response': ['利尿剂', '造影剂']}, {'type': 'Symptom', 'response': ['None']}]"
需在停用降压和利尿药2周后检测，而停用降压利尿药有发生高血压严重并发症的危险，又因小儿原发性高血压、肾实质性高血压，PRA亦可升高，故对RVH的诊断的敏感性和特异性均很差。,"[{'type': 'Disease', 'response': ['原发性高血压', '肾实质性高血压', '高血压', 'RVH']}, {'type': 'Drug', 'response': ['利尿药', '降压和利尿药', '降压利尿药']}, {'type': 'Symptom', 'response': ['None']}]"
如造影前，应控制高血压，以防伤口出血，造影后立即静注20%甘露醇20～40ml，继予补液，以减少急性肾衰竭和血管栓塞的并发症。,"[{'type': 'Disease', 'response': ['血管栓塞', '急性肾衰竭', '高血压']}, {'type': 'Drug', 'response': ['20%甘露醇']}, {'type': 'Symptom', 'response': ['None']}]"
但对一侧肾已有严重肾实质病变，一侧为肾动脉狭窄（RAS）或双侧RAS患者，可能诱发急性暂时性肾功能不全，不宜应用，因ACEI可减少ATⅡ生成使肾小球出球动脉舒张致肾小球滤过率下降，以致用药后肾功能恶化。,"[{'type': 'Disease', 'response': ['一侧肾已有严重肾实质病变', '双侧RAS', '肾动脉狭窄', 'RAS', '急性暂时性肾功能不全']}, {'type': 'Drug', 'response': ['ACEI']}, {'type': 'Symptom', 'response': ['None']}]"
婴儿作食管造影检查宜用碘油或水溶性造影剂，因钡剂造影剂如吸入气管支气管内，有加重呼吸困难或引致吸入性肺炎的危险。,"[{'type': 'Disease', 'response': ['吸入性肺炎']}, {'type': 'Drug', 'response': ['水溶性造影剂', '钡剂造影剂', '碘油']}, {'type': 'Symptom', 'response': ['None']}]"
（三）早产儿贫血的治疗1.使用重组人促红细胞生成素（rhEPO）（1）预防：对出生体重小于1500g的早产儿，生后7天，给rhEPO200U/kg，每周3次，皮下注射或静脉滴注，疗程4周。,"[{'type': 'Disease', 'response': ['贫血', '早产儿']}, {'type': 'Drug', 'response': ['rhEPO', '重组人促红细胞生成素']}, {'type': 'Symptom', 'response': ['None']}]"
表8-22喷射性雾化吸入用药注：普米克令舒可与0.9%生理盐水、特布他林、沙丁胺醇、色甘酸钠和溴化异丙托品混合使用表8-23儿童哮喘严重度分级注：①评估过去2～4周日间症状、夜间症状/憋醒、应急缓解药使用和活动受限情况；②患儿只要具有某级严重程度的任一项特点，就将其列为该级别；③任何级别严重程度，包括间歇状态，都可以出现严重的急性发作表8-24儿童哮喘控制水平分级注：①评估过去2～4周日间症状、夜间症状/憋醒、应急缓解药使用和活动受限情况；②出现任何一次急性发作都应复核维持治疗方案是否需要调整（二）确定长期治疗方案根据年龄分为5岁及以上儿童哮喘和5岁以下儿童哮喘的长期治疗方案。,"[{'type': 'Disease', 'response': ['儿童哮喘', '活动受限', '哮喘严重度分级']}, {'type': 'Drug', 'response': ['色甘酸钠', '沙丁胺醇', '溴化异丙托品', '特布他林', '普米克令舒', '注射用', '生理盐水', '0.9%']}, {'type': 'Symptom', 'response': ['None']}]"
呼吸系统本身的疾病存在阻碍了降低PaCO2</sub>的代偿机制，结果使pH下降显著慢性呼吸性酸中毒伴有充血性心力衰竭时，如过度使用利尿剂可出现代谢性碱中毒，此时血浆水平和pH将高于单纯的慢性呼吸性酸中毒。,"[{'type': 'Disease', 'response': ['呼吸系统本身的疾病', '代谢性碱中毒', '慢性呼吸性酸中毒', '充血性心力衰竭']}, {'type': 'Drug', 'response': ['利尿剂']}, {'type': 'Symptom', 'response': ['None']}]"
单独补充维生素D不能纠正低磷血症及生长迟缓。,"[{'type': 'Disease', 'response': ['低磷血症', '生长迟缓']}, {'type': 'Drug', 'response': ['维生素D']}, {'type': 'Symptom', 'response': ['None']}]"
铁剂服量过大可产生中毒现象，患儿可出现恶心、呕吐、不安，严重者可发生昏迷、肝坏死、胃肠道出血或末梢循环衰竭。,"[{'type': 'Disease', 'response': ['胃肠道出血', '中毒', '肝坏死', '末梢循环衰竭']}, {'type': 'Drug', 'response': ['铁剂']}, {'type': 'Symptom', 'response': ['None']}]"
对伴有尿道平滑肌痉挛的逼尿肌反射亢进，可应用α受体阻滞剂酚苄明（松弛膀胱出口和尿道平滑肌），可单用或与抗胆碱能药物普鲁苯辛或与氯化羟丁宁合用。,"[{'type': 'Disease', 'response': ['尿道平滑肌痉挛']}, {'type': 'Drug', 'response': ['氯化羟丁宁', '普鲁苯辛', '酚苄明', '抗胆碱能药物', 'α受体阻滞剂']}, {'type': 'Symptom', 'response': ['None']}]"
对伴有尿道外括约肌痉挛的逼尿肌反射亢进，为减轻逼尿肌收缩和解除尿道外括约肌痉挛，降低排尿阻力，可使用骨骼肌松弛剂如硝苯呋海因钠，多突触抑制剂如肼双二乙胺三嗪、氯苯氨丁酸和地西泮以及抗胆碱能药物。,"[{'type': 'Disease', 'response': ['尿道外括约肌痉挛']}, {'type': 'Drug', 'response': ['抗胆碱能药物', '硝苯呋海因钠', '肼双二乙胺三嗪', '氯苯氨丁酸', '多突触抑制剂', '地西泮']}, {'type': 'Symptom', 'response': ['None']}]"
丙咪嗪（Imipramine）是目前较为常用的药物，临床上主要用于小儿遗尿症，由于其具有抑制逼尿肌异常反射、增加膀胱容量以及增加尿道内压力的作用，也可治疗因无抑制收缩膀胱导致尿失禁的神经源性膀胱患儿。,"[{'type': 'Disease', 'response': ['神经源性膀胱', '尿失禁', '小儿遗尿症']}, {'type': 'Drug', 'response': ['丙咪嗪', 'Imipramine']}, {'type': 'Symptom', 'response': ['None']}]"
近年来，有关神经肽在下尿路中的生理和病理作用越来越受到重视，有实验证明P物质不但作为痛觉和炎症的调节因子，还可通过特异性受体对下尿路平滑肌产生收缩作用，临床上也据此采用辣椒素（capsaicin）进行膀胱内灌注以耗竭P物质，减少逼尿肌收缩，改善逼尿肌反射亢进和膀胱过敏等症状，取得较好的疗效。,"[{'type': 'Disease', 'response': ['炎症']}, {'type': 'Drug', 'response': ['capsaicin', '肌肽', '特异性受体', '辣椒素']}, {'type': 'Symptom', 'response': ['膀胱过敏', '逼尿肌反射亢进']}]"
除特氟隆外，戊二醛交联的牛胶原蛋白也是一种常用的生物注射材料，但它们可能引起特氟隆颗粒迁移至肺和脑实质、“特氟隆性肉芽肿”或胶原蛋白导致的急/慢性免疫反应等并发症。,"[{'type': 'Disease', 'response': ['急/慢性免疫反应', '特氟隆性肉芽肿']}, {'type': 'Drug', 'response': ['特氟隆', '特氟隆颗粒', '特氟隆蛋白', '戊二醛', '糖原蛋白']}, {'type': 'Symptom', 'response': ['None']}]"
第一节婴儿期（0～1岁）的膳食特点【婴儿期的营养需要】此期的生长发育是一生中最快的，一年内体重增加3倍，身长增加50%，故各种营养素的需求量大，但此时胃肠功能不成熟，存在矛盾；肝脏功能不完善，氨基酸要求高；肾脏功能不全，负担不能过大。,"[{'type': 'Disease', 'response': ['肾脏功能不全']}, {'type': 'Drug', 'response': ['营养素']}, {'type': 'Symptom', 'response': ['None']}]"
如蛋白质含量高，利于早产儿的快速生长；乳清蛋白与酪蛋白的比例为70∶30，脂肪和乳糖含量偏低，易于吸收；钠盐较高，利于补充早产儿钠的丢失；长链多不饱和脂肪酸，如二十二碳六烯酸（DHA）、花生四烯酸（AA）和牛磺酸，是足月成熟乳含量的1.5～2倍，对促进早产儿中枢神经系统和视网膜的发育有着积极的意义。,"[{'type': 'Disease', 'response': ['早产儿']}, {'type': 'Drug', 'response': ['牛磺酸', 'AA', '乳糖', '钠盐', '二十二碳六烯酸', '蛋白质', '酪蛋白', '长链多不饱和脂肪酸', 'DHA']}, {'type': 'Symptom', 'response': ['None']}]"
足月婴儿可选择普通婴儿奶粉，而对于早产儿来说，由于其生长要求更高，消化道功能不成熟，需要更多易消化吸收的营养素，故需要喂养早产儿配方奶。,"[{'type': 'Disease', 'response': ['早产儿', '早产']}, {'type': 'Drug', 'response': ['营养素', '普通婴儿奶粉']}, {'type': 'Symptom', 'response': ['None']}]"
此时，母乳分泌量往往也相对不足，随着婴儿月龄的增长，单纯乳类喂养已不能满足婴儿的生长需求；而且，小儿体内的储备铁已消耗完，而乳类中所含维生素及铁的量均不能满足生长发育的需要，如不及时补充，易患缺铁性贫血，还会造成以后喂养的困难。,"[{'type': 'Disease', 'response': ['缺铁性贫血']}, {'type': 'Drug', 'response': ['维生素', '铁']}, {'type': 'Symptom', 'response': ['None']}]"
【病因和发病机制】HSP发病机制尚未明确，下列情况可能为诱因如食物过敏（蛋类、乳类和豆类等）、药物（阿司匹林和抗生素等）、微生物（细菌、病毒和寄生虫等）、疫苗接种、麻醉以及恶性病变等。,"[{'type': 'Disease', 'response': ['HSP', '恶性病变']}, {'type': 'Drug', 'response': ['阿司匹林', '抗生素']}, {'type': 'Symptom', 'response': ['None']}]"
（二）对症治疗有荨麻疹或血管神经性水肿时，应用抗组胺药物和钙剂；腹痛时应用解痉剂，消化道出血时应禁食，可静脉注射西咪替丁20～40mg/（kg•d），必要时输血。,"[{'type': 'Disease', 'response': ['消化道出血', '血管神经性水肿', '腹痛', '荨麻疹']}, {'type': 'Drug', 'response': ['西咪替丁', '钙剂', '解痉剂', '抗组胺药物', '钙']}, {'type': 'Symptom', 'response': ['None']}]"
尿钾增高见于应用排钾利尿剂和肾上腺皮质激素等药物，也见于原发性醛固酮增多症、库欣综合征、Batter综合征以及肾小管酸中毒等疾病。,"[{'type': 'Disease', 'response': ['Batter综合征', '原发性醛固酮增多症', '库欣综合征', '肾小管酸中毒', '尿钾增高']}, {'type': 'Drug', 'response': ['肾上腺皮质激素']}, {'type': 'Symptom', 'response': ['None']}]"
尿磷增多见于Fanconi综合征、原发或者继发性甲状旁腺功能亢进、药物或重金属肾损害、应用大量皮质激素、利尿剂以及痛风、烧伤和各种佝偻病等。,"[{'type': 'Disease', 'response': ['烧伤', '痛风', '佝偻病', '原发或者继发性甲状旁腺功能亢进', '药物或重金属肾损害', 'Fanconi综合征']}, {'type': 'Drug', 'response': ['利尿剂', '皮质激素']}, {'type': 'Symptom', 'response': ['None']}]"
第四节营养性巨幼红细胞性贫血营养性巨幼红细胞性贫血（nutritionalmegaloblasticanemia）又称大细胞性贫血，主要由叶酸或（和）维生素B12</sub>直接或间接缺乏所致，大多因摄入不足而导致直接缺乏引起。,"[{'type': 'Disease', 'response': ['营养性巨幼红细胞性贫血', '大细胞性贫血', 'nutritionalmegaloblasticanemia']}, {'type': 'Drug', 'response': ['叶酸', '维生素B12']}, {'type': 'Symptom', 'response': ['None']}]"
因此，任何原因导致小肠病变均可使叶酸和维生素B12</sub>的吸收障碍，从而导致两者的缺乏，如慢性腹泻可严重影响叶酸、维生素B12</sub>的吸收。,"[{'type': 'Disease', 'response': ['吸收障碍', '小肠病变', '慢性腹泻']}, {'type': 'Drug', 'response': ['维生素B12', '叶酸']}, {'type': 'Symptom', 'response': ['None']}]"
空肠外科切除可引起叶酸缺乏，而回肠切除则可引起维生素B12</sub>的缺乏。,"[{'type': 'Disease', 'response': ['维生素B12</sub>的缺乏', '叶酸缺乏']}, {'type': 'Drug', 'response': ['维生素B12']}, {'type': 'Symptom', 'response': ['None']}]"
此外，肝脏病变可影响叶酸的正常代谢，使叶酸的生物转化发生障碍而致病。,"[{'type': 'Disease', 'response': ['肝脏病变', '影响叶酸的正常代谢', '使叶酸的生物转化发生障碍']}, {'type': 'Drug', 'response': ['None']}, {'type': 'Symptom', 'response': ['None']}]"
（四）先天性缺陷1.小肠先天性叶酸吸收缺陷是一种常染色体隐性遗传性疾病，可导致叶酸的吸收障碍。,"[{'type': 'Disease', 'response': ['小肠先天性叶酸吸收缺陷', '常染色体隐性遗传性疾病', '先天性缺陷', '叶酸的吸收障碍']}, {'type': 'Drug', 'response': ['叶酸']}, {'type': 'Symptom', 'response': ['None']}]"
病因为胃壁细胞不能分泌内因子（IF）而使维生素B12</sub>吸收障碍所致。,"[{'type': 'Disease', 'response': ['吸收障碍']}, {'type': 'Drug', 'response': ['维生素B12']}, {'type': 'Symptom', 'response': ['None']}]"
